Country,Description,Designation,Points,Price,State,Region_1,Region_2,Taster_Name,Taster_Twitter,Title,Variety,Winery,Website
US,"This is a best barrel blend of Goldeneye's several vineyards. It takes its beautifully ripe fruit from Confluence and the tannins of The Narrows to yield a dry, densely constructed and moderately ageable wine of exceptionally high quality and appeal. Blackberries, blueberries, cherries and exotic spices characterize the flavors of this tremendous wine, one of the best of the vintage out of the Anderson Valley. Only 222 cases were produced.","Ten Degrees",98,100,California,"Anderson Valley",NULL,NULL,NULL,"Goldeneye 2007 Ten Degrees Pinot Noir (Anderson Valley)","Pinot Noir",Goldeneye,www.goldeneyewinery.com
US,"A spectacular Pinot, continuing a string of great vintages from this little vineyard. The year 2007 gave California supernaturally rich but balanced Pinot Noirs, and this is one of them. It's sensational, offering broad, exotic fruit flavors, pinpointed with exotic spices, and exquisitely highlighted with French oak. Truly fine, this small-production wine should age over the next 6–8 years.","Confluence Vineyard",97,75,California,"Anderson Valley",NULL,NULL,NULL,"Goldeneye 2007 Confluence Vineyard Pinot Noir (Anderson Valley)","Pinot Noir",Goldeneye,www.goldeneyewinery.com
US,"A splendid, near-perfect Pinot, although it's very young and will benefit from time in the bottle. Few Pinots offer richer, more massive flavors. Just explodes on the palate with raspberries, cherries, persimmons, Dr. Pepper cola, mocha and cinnamon spices, yet the tannin-acid structure keeps it all balanced. A joy to drink as it warms and changes in the glass. Now–2014.","Meredith Estate",97,54,California,"Russian River Valley",Sonoma,NULL,NULL,"Merry Edwards 2007 Meredith Estate Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"An awesome Pinot Noir—it's hard to find words to describe its beauty. It's bone dry and rich in stimulating acidity, and the cherry and raspberry fruit flavors have an earthy, mushroomy quality that grounds the wine and gives it a real sense of terroir. Shows the fleshy attractions of the amazing '07 vintage, with an undisputed capacity to age. Now–2017, at least.","Trenton Estate Vineyard",97,52,California,"Russian River Valley",Sonoma,NULL,NULL,"Joseph Swan Vineyards 2007 Trenton Estate Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","Joseph Swan Vineyards",www.swanwinery.com
US,"A block selection, this most rare offering from DDO has rippingly good aromatics, intense and complex, with dusty, dreamy spices wrapped around a seamless mix of berry, earth and herbal components. The somewhat gritty texture gives it muscle and length, and the overall complexity suggests it can age for up to a quarter century. Drink now through 2035.","Édition Limitée",96,85,Oregon,"Dundee Hills","Willamette Valley","Paul Gregutt",@paulgwine ,"Domaine Drouhin Oregon 2011 Édition Limitée Pinot Noir (Dundee Hills)","Pinot Noir","Domaine Drouhin Oregon",www.drouhin.com
US,"An awesome wine. So delicious and complex now in wild cherry, raspberry, Dr. Pepper cola, bacon and smoky sandalwood flavors, brightened with crisp acidity and totally dry despite the fruitiness. But you'll also find a firm tannic structure that gives it some astringency. It's the kind of Pinot Noir that California does at its best, drinkable now for sheer beauty, but easily capable of a decade of aging.","Klopp Ranch Méthode a L'Ancienne",96,57,California,"Russian River Valley",Sonoma,NULL,NULL,"Merry Edwards 2008 Klopp Ranch Méthode a L'Ancienne Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"From Laguna Ridge Vineyard, which surrounds the producer's winery, this bottling begs to be explored. It's beguiling from the beginning, with unexpected shots of soy, corn nuts and gamy charcuterie. Big, structured tannins support juicy flavors of black cherry and raspberry, resulting in a complex, velvety mouthfeel. Flourishes of dark chocolate and cardamom tease on the finish.",Coopersmith,96,63,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Merry Edwards 2013 Coopersmith Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"Irresistible is the word that comes to mind to describe this Pinot, which is available only in magnums. The vintage was California's finest ever, and the wine shows spectacularly ripe red currant, cherry, tangerine zest, licorice and beef jerky flavors, with just the right touch of smoky oak. Yet the structural balance of acidity and fine tannins gives it the perfect architecture. Best now in its flashy youth and for the next 4 or 5 years.",Precioso,96,150,California,"Sonoma Coast",Sonoma,NULL,NULL,"Keller Estate 2005 Precioso Pinot Noir (Sonoma Coast)","Pinot Noir","Keller Estate",www.kellerestate.com
US,"Merry Edwards has figured out the magic trick of crafting Pinot Noirs so luscious right out of the gate, you want to drink them now, but that actually are ageable. This one, from the warmer Westside Road area of the valley, is enormously ripe and seductive now, with wild cherry, red licorice, bacon, cola, cocoa and cinnamon spice flavors. Yet the inherent balance of tannins and acids ensures it a long life. What a treat. Now–2016.","Flax Vineyard Méthode a L'Ancienne",96,54,California,"Russian River Valley",Sonoma,NULL,NULL,"Merry Edwards 2008 Flax Vineyard Méthode a L'Ancienne Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"The winery's Édition Limitée is a block selection, ripe, rich and beautifully rounded out. It's totally full bodied without becoming jammy, a lush compote of berries, cherries, citrus oil and refined acids that conjure up ripe pineapple juice. A long, lightly smoky finish seems to go on for endless minutes. Drink now through 2030.","Édition Limitée",96,85,Oregon,"Dundee Hills","Willamette Valley","Paul Gregutt",@paulgwine ,"Domaine Drouhin Oregon 2012 Édition Limitée Pinot Noir (Dundee Hills)","Pinot Noir","Domaine Drouhin Oregon",www.drouhin.com
US,"This is a big Pinot Noir, dark and full bodied and juicy in pomegranates, cherries, red plums and sautéed wild mushrooms, and the interplay of oak with fruit even yields richer notes of milk chocolate. It's devastatingly good, but also too young and fresh now to show its best. With its fine tannins and exquisite balance, this articulate young wine should be best after 2013.","The Narrows Vineyard",96,75,California,"Anderson Valley",NULL,NULL,NULL,"Goldeneye 2007 The Narrows Vineyard Pinot Noir (Anderson Valley)","Pinot Noir",Goldeneye,www.goldeneyewinery.com
US,"What's so wonderful about this Pinot is the way it reconciles all sorts of opposites. It's dry but sweet in fruit, and delicate yet potent at the same time. It's totally accessible now, but enormously complex. Flavors of raspberries and cherries meld with pomegranates and persimmons, as well as mushrooms, tea and licorice. It's a joy to drink now, and should develop in the cellar for at least 10 years.",Coopersmith,96,60,California,"Russian River Valley",Sonoma,NULL,NULL,"Merry Edwards 2011 Coopersmith Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"A dazzlingly good Pinot Noir. Hard to exaggerate the precision of flavor and structure. Shows the massively ripe character of the vintage, with a starburst of raspberries, cherries, cola, minerals and spices, while the acidity and tannins are just about perfect. This crowd pleaser is just extraordinary now, and should develop in the bottle over the next six years.",Precioso,95,75,California,"Sonoma Coast",Sonoma,NULL,NULL,"Keller Estate 2007 Precioso Pinot Noir (Sonoma Coast)","Pinot Noir","Keller Estate",www.kellerestate.com
US,"A prime example of why Pinot Noir is great to release later in its life, this six-year-old wine is signing with concentrated strawberry, iron, dried rose petals, stewed black cherry and raw beef. The palate is quite earthy but also packs black plum, vanilla, pepper, thyme and marjoram into a wondrous and complete package.","Hillside Vineyard",95,125,California,"Edna Valley","Central Coast","Matt Kettmann",@mattkettmann,"Wedell Cellars 2010 Hillside Vineyard Pinot Noir (Edna Valley)","Pinot Noir","Wedell Cellars",www.wedellcellars.com
US,"Brian Loring's bottling of this vineyard planted by Gary Pisoni and Gary Franscioni is bursting with raspberry syrup, cola and peppercorns on the nose. The palate boasts notes of strawberry juice, red berries and hibiscus. It's luxurious and sexy.","Garys' Vineyard",95,50,California,"Santa Lucia Highlands","Central Coast","Matt Kettmann",@mattkettmann,"Loring Wine Company 2013 Garys' Vineyard Pinot Noir (Santa Lucia Highlands)","Pinot Noir","Loring Wine Company",www.loringwinecompany.com
US,"Bringing together multiple sites in one wine, this provides a fine example of the sum equalling more than the parts. Well balanced and crafted, it offers aromas of sandalwood and smoked meat that contrast with more exuberant, textured layers of black cherry and citrus peel.","Russian River Selection",95,45,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Gary Farrell 2014 Russian River Selection Pinot Noir (Russian River Valley)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"Complex, classy winemaking is evident from the first sniff to the final sip. Savory notes of green tea and clean earth complement a terroir-driven wine. The notes and nuances pile on—flowers and fruits, cherry and cassis, with a whiff of barnyard and undergrowth. The lingering, expressive finish is already boggling, and seems sure to continue to evolve gracefully through 2025–2030.","Arcus Estate",95,100,Oregon,"Dundee Hills","Willamette Valley","Paul Gregutt",@paulgwine ,"Archery Summit 2012 Arcus Estate Pinot Noir (Dundee Hills)","Pinot Noir","Archery Summit",www.archerysummit.com
US,"Edwards has worked with this Laguna Ridge site for decades and her intimate understanding of it shows. Rose petals ride a voluptuous texture and concentrated notes of chocolate, caramel and black cherry; it's as savory as it is buoyant and floral. Still holding on to a wealth of tannin and body, it will cellar well despite being delicious and enjoyable today.","Klopp Ranch",95,63,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Merry Edwards 2013 Klopp Ranch Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"Everything about this Pinot screams quality. Although it will only improve with time, it's certainly enjoyable now for its raspberry, cherry, cola and oak flavors that will pair perfectly with a great steak. The Dijon clones that constitute the blend reacted perfectly to the cool vintage, yielding ripe fruit along with tart acidity and firm tannins. Drink 2017–2027.","Dutton Ranch Freestone Hill Vineyard",95,72,California,"Russian River Valley",Sonoma,NULL,NULL,"Dutton-Goldfield 2011 Dutton Ranch Freestone Hill Vineyard Pinot Noir (Russian River Valley)","Pinot Noir",Dutton-Goldfield,www.duttongoldfield.com
US,"Extraordinary for how drinkable it is right now, and for how it will evolve. Shows the crisp acidity and minerality of this cool-climate vineyard, with rich flavors of raspberries, cherry liqueur, cola, exotic spices, vanilla, buttered cinnamon toast and smoky sandalwood. Yet the tannic integrity should help it change in fascinating ways over the next six years. Decant for several hours.","Dutton Ranch Freestone Hill Vineyard",95,58,California,"Russian River Valley",Sonoma,NULL,NULL,"Dutton-Goldfield 2008 Dutton Ranch Freestone Hill Vineyard Pinot Noir (Russian River Valley)","Pinot Noir",Dutton-Goldfield,www.duttongoldfield.com
US,"Fairly light in color and body, this wine sings in fresh cranberry and orange before revealing a meatier underbelly of black tea and sautéed mushroom. Finessed and vibrant in minerality, it has pretty rose and fresh-picked cherry characters that dance on the palate as it evolves and unravels provocatively in the glass.","Rochioli-Allen Vineyards",95,70,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Gary Farrell 2013 Rochioli-Allen Vineyards Pinot Noir (Russian River Valley)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"From a Westside Road-adjacent vineyard in the heart of the northern Middle Reach, Flax is rocky and the vines a decade old. Expect luxurious power and a velvety mouthfeel from this wine, its black tea, pomegranate and rhubarb flavors brushed with allspice, sage and cola.","Flax Vineyard",95,60,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Merry Edwards 2014 Flax Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"High in acidity with a voluptuously sleek and supple body, this is a smoothly tamed wine. It's youthful and structured, with a mix of citrus, black cherry and cola. Medium bodied, it's memorably balanced and possesses subtle power.","Hyde Vineyard",95,70,California,Carneros,Napa-Sonoma,"Virginie Boone",@vboone,"Patz & Hall 2013 Hyde Vineyard Pinot Noir (Carneros)","Pinot Noir","Patz & Hall",www.patzhall.com
US,"It's amazing how rich this is, given the pale, translucent ruby color. Waves of cherries, raspberries, roasted hazelnuts, cola, pomegranates, herb tea, dusty Asian spices and smoky oak change constantly in the glass, as the wine breathes and endlessly fascinates. Bone-dry and tartly crisp, the wine will develop bottle complexities over the next eight years.","Rochioli-Allen Vineyards",95,70,California,"Russian River Valley",Sonoma,NULL,NULL,"Gary Farrell 2005 Rochioli-Allen Vineyards Pinot Noir (Russian River Valley)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"Mouthwatering acidity and berry freshness mark this muscular young Pinot Noir. It's gritty in tannins and brilliant in acids, with subtle flavors of sour red cherries, persimmons and cola, as well as a mushroomy earthiness to which oak adds exotic sandalwood notes. Very dry and fine, complex and provocative, a wine to let warm in the glass as it changes by the minute. Drink now–2015.","Dutton Ranch - Freestone Hill Vineyard",95,58,California,"Russian River Valley",Sonoma,NULL,NULL,"Dutton-Goldfield 2009 Dutton Ranch - Freestone Hill Vineyard Pinot Noir (Russian River Valley)","Pinot Noir",Dutton-Goldfield,www.duttongoldfield.com
US,"Silky yet slightly grippy, this is a mineral-driven wine, with violet and spicy cardamom aromas atop bright, vibrant swathes of cherry and wild strawberry. This vineyard is where Joseph Swan himself first planted Pinot Noir, it retains all the promise and greatness of his initial discovery of this magical place along the Laguna Ridge.","Trenton Estate Vineyard",95,65,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Joseph Swan Vineyards 2012 Trenton Estate Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","Joseph Swan Vineyards",www.swanwinery.com
US,"The producer's larger-production offering, this in no way suffers from not having a vineyard designated. Instead, it shows the prowess of blending, delivering a big, bold style with elegance and grace. Tangy cranberry and orange rind wrap themselves around powerful acidity and a silky body, finishing with notes of earth and cardamom.",NULL,95,48,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Merry Edwards 2013 Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"This beautiful wine further confirms the high level of quality in the Pinot Noirs from Dan Goldfield and Steve Dutton. It has a profusion of ripe black cherry and currant flavors, backed by firm acidity and fine-grained tannins, giving it grip. Its balance of concentrated fruit flavors and solid structure indicates a long life in the cellar. Best after 2020.","Angel Camp Vineyard",95,58,California,"Anderson Valley",NULL,"Jim Gordon",@gordone_cellars,"Dutton-Goldfield 2014 Angel Camp Vineyard Pinot Noir (Anderson Valley)","Pinot Noir",Dutton-Goldfield,www.duttongoldfield.com
US,"This complex, sophisticated and undeniably delicious wine blends strong flavor components into a harmonious whole. Aromas are lightly smoky and toasty, while flavors emphasize black tea, Bing cherry and sweet vermouth. The texture is firm and fine-grained giving a very smooth mouthfeel, and the finish lingers nicely.","The Narrows Vineyard",95,82,California,"Anderson Valley",NULL,"Jim Gordon",@gordone_cellars,"Goldeneye 2012 The Narrows Vineyard Pinot Noir (Anderson Valley)","Pinot Noir",Goldeneye,www.goldeneyewinery.com
US,"This head-turning wine was made from vines planted in the 1970s and 1990s—a selection that shocks with its complex beauty. Pine forest and Christmas spice notes accent cranberry, rhubarb and tart citrus flavors, all seemingly infused with seductive smoke. At its juicy core is an earthy, mushroomy component.","Rochioli Vineyard",95,75,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Gary Farrell 2015 Rochioli Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"This is a brand-new bottling from Merry Edwards. It's her first from Westside Road, which is warmer than her haunting grounds around the southern part of the valley. It's quite a promising debut. The wine is round, soft, charming and complex, with elaborate cherry, blackberry, licorice and cola flavors. It feels important and ageworthy. Drink now, with several hours of decanting, or cellar through 2020.",Georganne,95,54,California,"Russian River Valley",Sonoma,NULL,NULL,"Merry Edwards 2009 Georganne Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"This is a stellar wine. Dusty citrus spiked with clove comes to mind first aromatically and continues through to the palate. Tart acidity supports sublime texture and a lightness that never means lean. Red currant, grapefruit and orange provide additional lift and focus.","Rochioli Vineyard",95,75,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Gary Farrell 2014 Rochioli Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"This is an amazingly complex wine and a fine expression of the cool vintage. Perhaps the most notable feature is acidity; it's strong, almost tingly, and will certainly help the wine age. The flavors are explosive yet refined, with notes of cherries, cola, pomegranates and plums. Good as it is to drink now, you'll want to cellar it until 2018, and it will provide beauty for many additional years.","Meredith Estate",95,57,California,"Russian River Valley",Sonoma,NULL,NULL,"Merry Edwards 2010 Meredith Estate Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"This might be one of the best values on the market, given the quality. Equal parts pretty and funky, it's a tightly wound, savory, fruity wine that's elegant and compelling. The tannins and oak are lightly imprinted around strawberry-rhubarb and fresh-cut rose, and the texture seductively silky. This is a delicious treat of a wine that should also age.","Russian River Selection",95,45,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Gary Farrell 2013 Russian River Selection Pinot Noir (Russian River Valley)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"This one-of-a-kind offering from Chehalem celebrates what they are calling a “great” vintage. The wine is dark, supple and immensely rich and dense, yet retains a lightness that captures the elegance of the Pinot Noir grape while propelling it to rarified heights. The mix of red and purple fruits, herb, spice and earth all come together in a smooth and seductive wine that drinks like a dream.",Statement,95,99,Oregon,"Ribbon Ridge","Willamette Valley","Paul Gregutt",@paulgwine ,"Chehalem 2006 Statement Pinot Noir (Ribbon Ridge)","Pinot Noir",Chehalem,www.chehalemwines.com
US,"This reserve-level Pinot from DDO is exceptional in every way. Silky, elegant and deeply-fruited, it marries a plush midpalate of red berries and cherries to compelling grace notes of pine needle, cola and mocha. Delicious and ageworthy; if past vintages are any indication, this can go until 2029.",Laurène,95,65,Oregon,"Dundee Hills","Willamette Valley","Paul Gregutt",@paulgwine ,"Domaine Drouhin Oregon 2010 Laurène Pinot Noir (Dundee Hills)","Pinot Noir","Domaine Drouhin Oregon",www.drouhin.com
US,"This shows Merry Edwards' signature of exceptional deliciousness and drinkability, coupled with seemingly neverending depth. Made using fruit sourced from the winery's vineyard in the cooler southwestern part of the valley, near Sebastopol, this is rich in acids and soft tannins, but the flavors set it apart. Notes of raspberry, cherry, cola, tea, licorice, pepper and sandalwood abound and evolve with every sip. Drink now–2018.",Coopersmith,95,60,California,"Russian River Valley",Sonoma,NULL,NULL,"Merry Edwards 2010 Coopersmith Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"This vineyard has been source to some of the winery's greatest bottlings. The wine is enormously fruity, with raspberry, cherry and red-plum flavors that flood the palate. But it's no mere fruit bomb, offering the most wonderful tannin-acid structure and a dryness that keeps the wine stimulating through a long, spicy finish. Drinkable now, but also cellar worthy through 2018, at least.","Klopp Ranch",95,57,California,"Russian River Valley",Sonoma,NULL,NULL,"Merry Edwards 2010 Klopp Ranch Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"This wine is wound extremely tight, but opens like a lotus with decanting or overnight patience. Aromas of rose buds, black-raspberry extract, wet clay and dried purple flowers show on the nose, bolstered by the slightest smoky kiss of oak. Savory flavors of roasted black-plum skins and elderberry meet with soy, graphite and loam on the palate, which will gain amazing tertiary flavors with time. Drink 2018–2028.","Estate Grown",95,62,California,"Santa Cruz Mountains","Central Coast","Matt Kettmann",@mattkettmann,"Mount Eden Vineyards 2013 Estate Grown Pinot Noir (Santa Cruz Mountains)","Pinot Noir","Mount Eden Vineyards",www.mounteden.com
US,"Wild strawberry and plum mix with subtle yet sultry notes of nutmeg, mace, loam, graphite and game on the nose of this bottling. Sizzling acidity leads the palate, carrying cherry, plum and red apple flavors, followed by layers of eucalyptus and pine forest.","Estate Bottled",95,62,California,"Santa Cruz Mountains","Central Coast","Matt Kettmann",@mattkettmann,"Mount Eden Vineyards 2014 Estate Bottled Pinot Noir (Santa Cruz Mountains)","Pinot Noir","Mount Eden Vineyards",www.mounteden.com
US,"A dark color and big, brooding flavors make this wine bolder than most Pinots. The aromas are full of toasty, spicy oak, with more meaty, rich and almost earthy flavors that are very concentrated. With more sips, more complex accents of tea and forest floor add complexity.","Split Rail Vineyard",94,82,California,"Anderson Valley",NULL,"Jim Gordon",@gordone_cellars,"Goldeneye 2013 Split Rail Vineyard Pinot Noir (Anderson Valley)","Pinot Noir",Goldeneye,www.goldeneyewinery.com
US,"A shy nose demands further time in the glass to open this medium-bodied and truly compelling offering from this far-flung coastal site. A depth of black cherry, cranberry and black tea awaits, marked by tart acidity and silky-smooth waves of flavor and body.","Fort Ross Vineyard",94,70,California,"Fort Ross-Seaview",Sonoma,"Virginie Boone",@vboone,"Gary Farrell 2014 Fort Ross Vineyard Pinot Noir (Fort Ross-Seaview)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"A very intriguing nose from winemaker Brian Loring is reminiscent of ripe red cherries stewed in a béchamel sauce laced with cinnamon sticks. The palate dives deep into blackberries, black tea, beet juice and all sorts of cherries (red, black and sour), lifted by freshly crushed anise seeds.","Cargasacchi Vineyard",94,50,California,"Sta. Rita Hills","Central Coast","Matt Kettmann",@mattkettmann,"Loring Wine Company 2013 Cargasacchi Vineyard Pinot Noir (Sta. Rita Hills)","Pinot Noir","Loring Wine Company",www.loringwinecompany.com
